,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
3,가양대교,C-03,4,985.0,674.0,511.0,503.0,694.0,1622.0,2736.0,2811.0,3112.0,3119.0,3055.0,3031.0,3045.0,3127.0,3159.0,3242.0,3431.0,3476.0,3312.0,2658.0,2590.0,2604.0,2447.0,1551.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2395.625
15,강남대로(강남역-신분당),D-35,4,534.0,330.0,223.0,171.0,174.0,314.0,731.0,1222.0,1360.0,1365.0,1420.0,1510.0,1461.0,1538.0,1546.0,1615.0,1619.0,1640.0,1622.0,1449.0,1235.0,1113.0,1020.0,758.0,37.49059,127.03116,서울시 강남구 역삼동 858,1082.0833333333333
27,강남대로(신사역),D-43,4,800.0,577.0,418.0,331.0,330.0,500.0,883.0,1383.0,1505.0,1613.0,1646.0,1625.0,1628.0,1594.0,1747.0,1773.0,1811.0,1878.0,1909.0,1807.0,1662.0,1667.0,1576.0,1108.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1323.7916666666667
39,강남순환로,F-08,4,425.0,248.0,167.0,141.0,225.0,833.0,2188.0,2688.0,2660.0,2624.0,2492.0,2369.0,2379.0,2517.0,2542.0,2589.0,2869.0,3205.0,2972.0,2428.0,1891.0,1659.0,1469.0,844.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1851.0
51,강변북로,F-02,4,2430.0,1589.0,1168.0,1062.0,1575.0,3729.0,5811.0,6186.0,6222.0,6394.0,6222.0,6150.0,6050.0,6054.0,6009.0,5803.0,5370.0,4677.0,4407.0,4620.0,5513.0,5914.0,5581.0,3746.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4678.416666666667
63,강변북로(구리시계),B-37,4,801.0,510.0,394.0,361.0,544.0,1524.0,3232.0,3560.0,3900.0,3903.0,4053.0,4111.0,4012.0,4044.0,4038.0,4145.0,4366.0,4413.0,4184.0,3670.0,3268.0,2962.0,2592.0,1463.0,37.558389,127.114274,경기도 구리시 아천동 390,2918.75
75,강변북로(난지한강공원),B-36,4,2184.0,1421.0,1109.0,1116.0,1697.0,4159.0,5758.0,5576.0,5722.0,5884.0,6141.0,6264.0,6574.0,6634.0,6660.0,6624.0,6673.0,6624.0,6331.0,6105.0,5964.0,5818.0,5362.0,3575.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4998.958333333333
87,강서로(화곡터널),D-20,4,399.0,266.0,193.0,161.0,215.0,379.0,638.0,826.0,858.0,950.0,915.0,885.0,886.0,900.0,922.0,938.0,931.0,954.0,949.0,882.0,846.0,827.0,788.0,555.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,710.9583333333334
99,개봉로(개봉교),B-21,4,199.0,132.0,101.0,92.0,151.0,361.0,546.0,617.0,639.0,660.0,678.0,673.0,644.0,659.0,666.0,685.0,709.0,715.0,688.0,622.0,541.0,493.0,435.0,313.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,500.7916666666667
111,경부고속도로,F-06,4,2098.0,1368.0,1034.0,975.0,1476.0,3563.0,5696.0,5052.0,4999.0,4927.0,4806.0,4736.0,4693.0,4737.0,4767.0,4781.0,4741.0,4412.0,4450.0,4551.0,4597.0,5433.0,5074.0,3466.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,4018.0
123,경부고속도로(양재IC),B-11,4,1784.0,1146.0,865.0,805.0,1249.0,3275.0,5758.0,5147.0,4987.0,4699.0,4680.0,4599.0,4515.0,4492.0,4472.0,4604.0,4725.0,4846.0,4853.0,4700.0,4728.0,5221.0,4770.0,3106.0,37.465083,127.038643,서울시 서초구 양재동 227-4,3917.75
135,경인고속국도(신월IC),B-28,4,1578.0,1047.0,785.0,749.0,1129.0,2983.0,4306.0,4610.0,4434.0,4378.0,4398.0,4344.0,4454.0,4561.0,4524.0,4590.0,4790.0,4836.0,4678.0,4429.0,4085.0,3952.0,3602.0,2495.0,37.524875,126.831933,서울시 양천구 신월동 904-1,3572.375
147,경인로(거리공원입구교차로),D-23,4,374.0,227.0,153.0,137.0,277.0,855.0,1200.0,1315.0,1315.0,1322.0,1341.0,1324.0,1284.0,1288.0,1297.0,1300.0,1369.0,1385.0,1313.0,1167.0,1060.0,1037.0,831.0,579.0,37.50644,126.884382,서울시 구로구 신도림동 435-17,989.5833333333334
