,광역시명,시군구명,시군구코드,기준년도,벚나무수량,은행나무수량,느티나무수량,양버즘나무수량,단풍나무수량,메타세쿼이아수량,회화나무수량,튤립나무수량,소나무수량,잣나무수량,낙엽송수량,편백나무수량,상수리나무수량,신갈나무수량,참나무수량,기타수량,벚나무온실가스흡수량,은행나무온실가스흡수량,느티나무온실가스흡수량,양버즘나무온실가스흡수량,단풍나무온실가스흡수량,메타세쿼이아온실가스흡수량,회화나무온실가스흡수량,튤립나무온실가스흡수량,소나무온실가스흡수량,잣나무온실가스흡수량,낙엽송온실가스흡수량,편백나무온실가스흡수량,상수리나무온실가스흡수량,신갈나무온실가스흡수량,참나무온실가스흡수량,기타온실가스흡수량,합계온실가스흡수량
125,서울특별시,종로구,11110,2020,422,4075,698,1067,8,0,144,0,267,0,13,0,0,730,0,30,11.3518,144.255,23.5226,59.3252,0.164,0.0,4.68,0.0,1.201945,0.0,0.091866667,0.0,0.0,5.7086,0.0,1.278,251.5790117
126,서울특별시,중구,11140,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,서울특별시,용산구,11170,2020,261,4378,471,1365,103,0,41,12,51,0,16,0,0,202,1,920,7.0209,154.9812,15.8727,75.894,2.1115,0.0,1.3325,1.2228,0.229585,0.0,0.113066667,0.0,0.0,1.57964,0.013948333,39.192,299.56384
128,서울특별시,성동구,11200,2020,602,1037,1906,2102,218,48,294,0,0,0,1,0,0,946,0,714,16.1938,36.7098,64.2322,116.8712,4.469,3.3408,9.555,0.0,0.0,0.0,0.007066667,0.0,0.0,7.39772,0.0,30.4164,289.1929867
129,서울특별시,광진구,11215,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,서울특별시,동대문구,11230,2020,747,3869,849,3215,232,62,143,37,0,0,19,0,0,1199,0,501,20.0943,136.9626,28.6113,178.754,4.756,4.3152,4.6475,3.7703,0.0,0.0,0.134266667,0.0,0.0,9.37618,0.0,21.3426,412.7642467
131,서울특별시,중랑구,11260,2020,461,2765,348,2483,396,74,0,0,64,0,0,0,0,659,0,1020,12.4009,97.881,11.7276,138.0548,8.118,5.1504,0.0,0.0,0.288106667,0.0,0.0,0.0,0.0,5.15338,0.0,43.452,322.2261867
132,서울특별시,성북구,11290,2020,1757,25133,1000,1188,312,65,38,4,90,0,0,0,0,1038,16,444,47.2633,889.7082,33.7,66.0528,6.396,4.524,1.235,0.4076,0.40515,0.0,0.0,0.0,0.0,8.11716,0.223173333,18.9144,1076.946783
133,서울특별시,강북구,11305,2020,496,3067,322,878,309,0,95,5,1015,94,0,0,0,643,0,422,13.3424,108.5718,10.8514,48.8168,6.3345,0.0,3.0875,0.5095,4.569191667,0.985746667,0.0,0.0,0.0,5.02826,0.0,17.9772,220.0742983
134,서울특별시,도봉구,11320,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
