,광역시명,시군구명,시군구코드,기준년도,벚나무수량,은행나무수량,느티나무수량,양버즘나무수량,단풍나무수량,메타세쿼이아수량,회화나무수량,튤립나무수량,소나무수량,잣나무수량,낙엽송수량,편백나무수량,상수리나무수량,신갈나무수량,참나무수량,기타수량,벚나무온실가스흡수량,은행나무온실가스흡수량,느티나무온실가스흡수량,양버즘나무온실가스흡수량,단풍나무온실가스흡수량,메타세쿼이아온실가스흡수량,회화나무온실가스흡수량,튤립나무온실가스흡수량,소나무온실가스흡수량,잣나무온실가스흡수량,낙엽송온실가스흡수량,편백나무온실가스흡수량,상수리나무온실가스흡수량,신갈나무온실가스흡수량,참나무온실가스흡수량,기타온실가스흡수량,합계온실가스흡수량
21,서울특별시,서초구,11650,2015,581,3243,3579,5025,0,1282,516,0,0,0,843,0,0,491,533,6,15.6289,114.8022,120.6123,279.39,0.0,89.2272,16.77,0.0,0.0,0.0,5.9572,0.0,0.0,3.83962,7.434461667,0.2556,653.9174817
22,서울특별시,강남구,11680,2015,1363,7996,2642,7887,0,867,508,65,0,0,0,0,0,240,80,490,36.6647,283.0584,89.0354,438.5172,0.0,60.3432,16.51,6.6235,0.0,0.0,0.0,0.0,0.0,1.8768,1.115866667,20.874,954.6190667
23,서울특별시,송파구,11710,2015,931,12700,2200,4483,0,14,0,707,127,0,329,0,0,679,0,1834,25.0439,449.58,74.14,249.2548,0.0,0.9744,0.0,72.0433,0.571711667,0.0,2.324933333,0.0,0.0,5.30978,0.0,78.1284,957.371225
24,서울특별시,강동구,11740,2015,1343,5722,2207,5286,0,0,55,0,0,0,0,0,0,471,0,1345,36.1267,202.5588,74.3759,293.9016,0.0,0.0,1.7875,0.0,0.0,0.0,0.0,0.0,0.0,3.68322,0.0,57.297,669.73072
25,서울특별시,종로구,11110,2016,444,5300,680,1256,11,32,148,4,278,0,18,0,0,94,0,548,11.9436,187.62,22.916,69.8336,0.2255,2.2272,4.81,0.4076,1.251463333,0.0,0.1272,0.0,0.0,0.73508,0.0,23.3448,325.4420433
26,서울특별시,중구,11140,2016,328,3698,472,180,0,0,222,7,2101,0,0,0,0,387,0,648,8.8232,130.9092,15.9064,10.008,0.0,0.0,7.215,0.7133,9.458001667,0.0,0.0,0.0,0.0,3.02634,0.0,27.6048,213.6642417
27,서울특별시,용산구,11170,2016,252,4538,279,1519,106,0,40,13,52,0,16,0,0,199,0,913,6.7788,160.6452,9.4023,84.4564,2.173,0.0,1.3,1.3247,0.234086667,0.0,0.113066667,0.0,0.0,1.55618,0.0,38.8938,306.8775333
28,서울특별시,성동구,11200,2016,529,1159,2019,2527,29,49,465,0,53,0,1,0,0,405,0,426,14.2301,41.0286,68.0403,140.5012,0.5945,3.4104,15.1125,0.0,0.238588333,0.0,0.007066667,0.0,0.0,3.1671,0.0,18.1476,304.477955
29,서울특별시,광진구,11215,2016,651,1576,990,2486,2,0,156,75,20,0,74,0,0,622,0,571,17.5119,55.7904,33.363,138.2216,0.041,0.0,5.07,7.6425,0.090033333,0.0,0.522933333,0.0,0.0,4.86404,0.0,24.3246,287.4420067
30,서울특별시,동대문구,11230,2016,744,3746,848,3585,232,60,148,40,0,0,19,0,0,989,0,522,20.0136,132.6084,28.5776,199.326,4.756,4.176,4.81,4.076,0.0,0.0,0.134266667,0.0,0.0,7.73398,0.0,22.2372,428.4490467
