,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
6,가양대교,C-03,7,976.0,683.0,499.0,512.0,785.0,1808.0,2768.0,2796.0,3094.0,3183.0,3128.0,3080.0,3093.0,3167.0,3192.0,3275.0,3386.0,3396.0,3216.0,2903.0,2598.0,2538.0,2311.0,1437.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2409.3333333333335
18,강남대로(강남역-신분당),D-35,7,473.0,294.0,193.0,153.0,165.0,305.0,713.0,1182.0,1327.0,1339.0,1372.0,1467.0,1457.0,1517.0,1521.0,1539.0,1578.0,1614.0,1579.0,1408.0,1191.0,1090.0,969.0,688.0,37.49059,127.03116,서울시 강남구 역삼동 858,1047.25
30,강남대로(신사역),D-43,7,722.0,502.0,377.0,294.0,300.0,463.0,890.0,1413.0,1508.0,1552.0,1541.0,1555.0,1609.0,1544.0,1595.0,1628.0,1684.0,1804.0,1836.0,1695.0,1558.0,1530.0,1436.0,1019.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1252.2916666666667
42,강남순환로,F-08,7,393.0,239.0,162.0,145.0,247.0,890.0,2064.0,2539.0,2580.0,2485.0,2322.0,2228.0,2270.0,2380.0,2395.0,2432.0,2691.0,3029.0,2853.0,2377.0,1808.0,1527.0,1288.0,734.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1753.25
54,강변북로,F-02,7,2222.0,1466.0,1091.0,1027.0,1636.0,3877.0,5831.0,6054.0,6114.0,6103.0,6126.0,6064.0,6038.0,6015.0,5959.0,5792.0,5534.0,4923.0,4482.0,4451.0,5245.0,5695.0,5318.0,3446.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4604.541666666667
66,강변북로(구리시계),B-37,7,751.0,476.0,359.0,368.0,616.0,1637.0,3182.0,3523.0,3724.0,3722.0,3901.0,3980.0,3941.0,3998.0,3979.0,4047.0,4153.0,4185.0,4025.0,3436.0,2810.0,2542.0,2153.0,1219.0,37.558389,127.114274,경기도 구리시 아천동 390,2780.2916666666665
78,강변북로(난지한강공원),B-36,7,2037.0,1361.0,1050.0,1065.0,1798.0,4149.0,5451.0,5390.0,5693.0,5871.0,6169.0,6342.0,6572.0,6589.0,6641.0,6487.0,6485.0,6466.0,6308.0,5917.0,5729.0,5564.0,4965.0,3199.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4887.416666666667
90,강서로(화곡터널),D-20,7,395.0,284.0,207.0,173.0,221.0,463.0,716.0,905.0,945.0,1025.0,996.0,998.0,972.0,986.0,996.0,996.0,996.0,1008.0,1003.0,928.0,881.0,865.0,797.0,546.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,762.5833333333334
102,개봉로(개봉교),B-21,7,193.0,127.0,94.0,92.0,162.0,369.0,514.0,579.0,615.0,640.0,648.0,649.0,632.0,650.0,652.0,674.0,691.0,722.0,701.0,625.0,530.0,485.0,405.0,285.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,488.9166666666667
114,경부고속도로,F-06,7,2015.0,1355.0,1047.0,1042.0,1702.0,3870.0,5684.0,4974.0,4910.0,4771.0,4692.0,4722.0,4659.0,4644.0,4676.0,4678.0,4556.0,4400.0,4276.0,4306.0,4395.0,5171.0,4740.0,3235.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,3938.3333333333335
