,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
1,가양대교,C-03,2,817.0,559.0,415.0,417.0,525.0,1082.0,1836.0,2273.0,2899.0,3047.0,3078.0,3096.0,3088.0,3139.0,3167.0,3224.0,3373.0,3416.0,2541.0,2398.0,2447.0,2489.0,1994.0,1231.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2189.625
13,강남대로(강남역-신분당),D-35,2,453.0,292.0,195.0,149.0,145.0,271.0,638.0,1068.0,1239.0,1257.0,1302.0,1397.0,1445.0,1499.0,1567.0,1524.0,1526.0,1511.0,1503.0,1397.0,1212.0,1095.0,876.0,656.0,37.49059,127.03116,서울시 강남구 역삼동 858,1009.0416666666666
25,강남대로(신사역),D-43,2,669.0,478.0,353.0,271.0,276.0,449.0,794.0,1236.0,1394.0,1494.0,1533.0,1532.0,1560.0,1554.0,1691.0,1706.0,1741.0,1763.0,1826.0,1750.0,1598.0,1592.0,1294.0,935.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1228.7083333333333
37,강남순환로,F-08,2,368.0,224.0,151.0,124.0,180.0,611.0,1701.0,2362.0,2442.0,2450.0,2407.0,2357.0,2424.0,2512.0,2533.0,2561.0,2787.0,3027.0,2767.0,2309.0,1878.0,1683.0,1235.0,679.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1740.5
49,강변북로,F-02,2,2148.0,1450.0,1054.0,951.0,1242.0,2821.0,4942.0,5437.0,5779.0,6120.0,6325.0,6267.0,6281.0,6185.0,6050.0,6000.0,5491.0,4594.0,4271.0,4403.0,5136.0,5611.0,4902.0,3314.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4448.916666666667
61,강변북로(구리시계),B-37,2,694.0,459.0,339.0,322.0,417.0,1082.0,2522.0,2963.0,3453.0,3593.0,3806.0,3847.0,3929.0,4030.0,3968.0,4052.0,4266.0,4247.0,3928.0,3379.0,3008.0,2853.0,2139.0,1217.0,37.558389,127.114274,경기도 구리시 아천동 390,2688.0416666666665
73,강변북로(난지한강공원),B-36,2,2042.0,1362.0,1058.0,986.0,1264.0,2803.0,4392.0,5028.0,5232.0,5540.0,6136.0,6401.0,6628.0,6667.0,6733.0,6802.0,6768.0,6507.0,6257.0,6079.0,6080.0,6026.0,5129.0,3248.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4798.666666666667
85,강서로(화곡터널),D-20,2,343.0,246.0,179.0,143.0,180.0,314.0,526.0,719.0,816.0,914.0,892.0,884.0,887.0,909.0,926.0,923.0,919.0,923.0,931.0,890.0,853.0,848.0,697.0,490.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,681.3333333333334
97,개봉로(개봉교),B-21,2,180.0,118.0,89.0,82.0,130.0,291.0,442.0,542.0,598.0,609.0,642.0,647.0,648.0,662.0,668.0,685.0,682.0,695.0,657.0,586.0,519.0,499.0,377.0,269.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,471.5416666666667
109,경부고속도로,F-06,2,1838.0,1237.0,926.0,864.0,1173.0,2659.0,4666.0,4466.0,4753.0,4788.0,4703.0,4715.0,4708.0,4677.0,4661.0,4712.0,4604.0,4384.0,4148.0,4259.0,4324.0,4965.0,4347.0,2958.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,3730.625
121,경부고속도로(양재IC),B-11,2,1563.0,1040.0,752.0,708.0,969.0,2256.0,4464.0,4375.0,4709.0,4616.0,4483.0,4433.0,4478.0,4513.0,4547.0,4624.0,4763.0,4711.0,4391.0,4387.0,4435.0,4738.0,4014.0,2614.0,37.465083,127.038643,서울시 서초구 양재동 227-4,3607.625
133,경인고속국도(신월IC),B-28,2,1434.0,963.0,729.0,663.0,994.0,2820.0,3981.0,4318.0,4301.0,4229.0,4223.0,4238.0,4328.0,4480.0,4408.0,4442.0,4628.0,4733.0,4531.0,4262.0,3974.0,3808.0,3424.0,2269.0,37.524875,126.831933,서울시 양천구 신월동 904-1,3424.1666666666665
145,경인로(거리공원입구교차로),D-23,2,317.0,194.0,131.0,128.0,239.0,685.0,1076.0,1182.0,1268.0,1291.0,1337.0,1340.0,1340.0,1309.0,1311.0,1311.0,1329.0,1331.0,1261.0,1143.0,1006.0,998.0,723.0,485.0,37.50644,126.884382,서울시 구로구 신도림동 435-17,947.2916666666666
157,경인로(서울교),D-28,2,539.0,350.0,234.0,188.0,273.0,595.0,1292.0,2093.0,2361.0,2336.0,2314.0,2399.0,2364.0,2466.0,2466.0,2411.0,2418.0,2410.0,2270.0,2070.0,1862.0,1779.0,1305.0,854.0,37.52019,126.914903,서울시 영등포구 영등포동2가 97-1,1652.0416666666667
169,경인로(오류IC),D-22,2,407.0,252.0,171.0,153.0,269.0,587.0,908.0,1035.0,1031.0,1106.0,1188.0,1230.0,1264.0,1284.0,1286.0,1275.0,1330.0,1355.0,1326.0,1185.0,1084.0,1045.0,857.0,600.0,37.498246,126.851219,서울시 구로구 개봉동 80-22,926.1666666666666
181,경인로(유한공고),B-29,2,267.0,171.0,118.0,97.0,164.0,360.0,578.0,737.0,809.0,806.0,798.0,801.0,824.0,811.0,809.0,829.0,891.0,938.0,915.0,801.0,704.0,685.0,540.0,375.0,37.488614,126.822789,경기도 부천시 소사구 괴안동 206-5,617.8333333333334
193,경춘북로(중랑경찰서),B-05,2,233.0,157.0,113.0,108.0,173.0,410.0,788.0,1182.0,1383.0,1306.0,1252.0,1222.0,1255.0,1299.0,1305.0,1327.0,1424.0,1514.0,1508.0,1231.0,965.0,881.0,645.0,373.0,37.619942,127.105325,서울시 중랑구 신내동 271-1,918.9166666666666
205,공항대로(발산역),D-21,2,316.0,217.0,165.0,147.0,222.0,385.0,620.0,1034.0,1299.0,1269.0,1292.0,1288.0,1287.0,1353.0,1380.0,1368.0,1409.0,1394.0,1340.0,1136.0,971.0,867.0,690.0,448.0,37.559251,126.831069,서울시 강서구 마곡동 727-1154,912.375
217,과천대로(남태령역),B-15,2,397.0,223.0,148.0,129.0,197.0,539.0,1268.0,1648.0,1776.0,1686.0,1698.0,1710.0,1722.0,1758.0,1710.0,1711.0,1760.0,1799.0,1727.0,1503.0,1400.0,1332.0,1027.0,678.0,37.463288,126.988151,서울시 서초구 방배동 산190-1 ,1231.0833333333333
229,광명대교(광명시계),B-22,2,142.0,95.0,66.0,59.0,106.0,233.0,390.0,696.0,701.0,755.0,784.0,711.0,678.0,711.0,697.0,705.0,718.0,723.0,719.0,625.0,498.0,451.0,333.0,213.0,37.485044,126.873297,서울시 금천구 가산동 535-121,492.0416666666667
241,광진교,C-21,2,80.0,55.0,42.0,34.0,41.0,86.0,168.0,301.0,503.0,439.0,445.0,447.0,421.0,431.0,454.0,476.0,520.0,579.0,613.0,447.0,300.0,264.0,179.0,113.0,37.54412,127.115274,서울시 강동구 천호동 484-9,309.9166666666667
253,국회대로(여의2교),D-27,2,418.0,263.0,168.0,140.0,176.0,303.0,661.0,1174.0,1486.0,1332.0,1341.0,1464.0,1454.0,1548.0,1596.0,1591.0,1602.0,1570.0,1389.0,1269.0,1236.0,1209.0,944.0,667.0,37.526003,126.910953,서울시 영등포구 영등포동7가 94-411,1041.7083333333333
265,금오로(광명시계),B-19,2,39.0,20.0,16.0,17.0,34.0,101.0,184.0,270.0,283.0,292.0,272.0,268.0,269.0,287.0,296.0,309.0,325.0,361.0,326.0,261.0,185.0,140.0,95.0,60.0,37.482431,126.841891,서울시 구로구 천왕동 24-2,196.25
