,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
2,가양대교,C-03,3,905.0,635.0,475.0,460.0,627.0,1390.0,2369.0,2813.0,3095.0,3121.0,3077.0,3076.0,3050.0,3144.0,3152.0,3239.0,3428.0,3502.0,3049.0,2570.0,2505.0,2484.0,2310.0,1404.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2328.3333333333335
14,강남대로(강남역-신분당),D-35,3,518.0,324.0,221.0,173.0,167.0,302.0,711.0,1204.0,1349.0,1340.0,1394.0,1468.0,1445.0,1515.0,1527.0,1583.0,1606.0,1607.0,1600.0,1456.0,1224.0,1120.0,1010.0,730.0,37.49059,127.03116,서울시 강남구 역삼동 858,1066.4166666666667
26,강남대로(신사역),D-43,3,754.0,534.0,392.0,309.0,310.0,495.0,888.0,1379.0,1502.0,1597.0,1626.0,1594.0,1616.0,1598.0,1733.0,1762.0,1811.0,1844.0,1871.0,1796.0,1636.0,1619.0,1517.0,1058.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1301.7083333333333
38,강남순환로,F-08,3,414.0,245.0,169.0,140.0,212.0,755.0,2037.0,2707.0,2668.0,2539.0,2417.0,2283.0,2314.0,2469.0,2475.0,2525.0,2816.0,3157.0,2888.0,2375.0,1823.0,1579.0,1393.0,814.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1800.5833333333333
50,강변북로,F-02,3,2389.0,1582.0,1165.0,1054.0,1491.0,3574.0,5644.0,6114.0,6152.0,6406.0,6437.0,6322.0,6265.0,6278.0,6207.0,6145.0,5731.0,4841.0,4425.0,4733.0,5539.0,5942.0,5597.0,3637.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4736.25
62,강변북로(구리시계),B-37,3,768.0,495.0,378.0,351.0,483.0,1361.0,3017.0,3406.0,3719.0,3762.0,3893.0,3890.0,3800.0,3904.0,3956.0,4103.0,4330.0,4323.0,4014.0,3561.0,3049.0,2742.0,2448.0,1387.0,37.558389,127.114274,경기도 구리시 아천동 390,2797.5
74,강변북로(난지한강공원),B-36,3,2197.0,1451.0,1120.0,1093.0,1546.0,3668.0,5402.0,5684.0,5760.0,5778.0,6063.0,6332.0,6569.0,6622.0,6645.0,6637.0,6785.0,6745.0,6520.0,6320.0,6101.0,5873.0,5488.0,3587.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4999.416666666667
86,강서로(화곡터널),D-20,3,384.0,268.0,202.0,163.0,221.0,360.0,607.0,795.0,835.0,932.0,905.0,888.0,860.0,904.0,910.0,938.0,940.0,950.0,948.0,880.0,844.0,835.0,794.0,546.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,704.5416666666666
98,개봉로(개봉교),B-21,3,202.0,133.0,104.0,96.0,153.0,340.0,481.0,569.0,576.0,621.0,648.0,648.0,633.0,659.0,671.0,693.0,711.0,705.0,686.0,615.0,542.0,496.0,426.0,300.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,487.8333333333333
110,경부고속도로,F-06,3,1995.0,1329.0,995.0,934.0,1343.0,3270.0,5328.0,4877.0,4932.0,4956.0,4814.0,4794.0,4781.0,4771.0,4785.0,4826.0,4776.0,4507.0,4377.0,4499.0,4596.0,5315.0,4915.0,3210.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,3955.2083333333335
122,경부고속도로(양재IC),B-11,3,1700.0,1118.0,824.0,755.0,1115.0,2888.0,5343.0,4828.0,4886.0,4722.0,4649.0,4569.0,4551.0,4491.0,4499.0,4657.0,4812.0,4930.0,4801.0,4675.0,4608.0,5017.0,4544.0,2901.0,37.465083,127.038643,서울시 서초구 양재동 227-4,3828.4583333333335
134,경인고속국도(신월IC),B-28,3,1545.0,1020.0,776.0,728.0,1093.0,2943.0,4065.0,4363.0,4334.0,4304.0,4273.0,4279.0,4361.0,4410.0,4466.0,4531.0,4718.0,4856.0,4665.0,4295.0,3984.0,3850.0,3478.0,2419.0,37.524875,126.831933,서울시 양천구 신월동 904-1,3489.8333333333335
146,경인로(거리공원입구교차로),D-23,3,355.0,221.0,151.0,138.0,268.0,813.0,1184.0,1277.0,1325.0,1326.0,1356.0,1351.0,1314.0,1322.0,1326.0,1301.0,1356.0,1362.0,1307.0,1177.0,1008.0,993.0,790.0,555.0,37.50644,126.884382,서울시 구로구 신도림동 435-17,982.3333333333334
158,경인로(서울교),D-28,3,621.0,411.0,284.0,230.0,322.0,704.0,1511.0,2413.0,2612.0,2539.0,2471.0,2469.0,2348.0,2519.0,2538.0,2554.0,2602.0,2712.0,2596.0,2230.0,1992.0,1860.0,1536.0,1009.0,37.52019,126.914903,서울시 영등포구 영등포동2가 97-1,1795.125
170,경인로(오류IC),D-22,3,459.0,281.0,192.0,170.0,310.0,679.0,1026.0,1150.0,1081.0,1126.0,1205.0,1202.0,1218.0,1241.0,1270.0,1237.0,1324.0,1385.0,1354.0,1207.0,1093.0,1033.0,938.0,678.0,37.498246,126.851219,서울시 구로구 개봉동 80-22,952.4583333333334
182,경인로(유한공고),B-29,3,297.0,189.0,126.0,101.0,192.0,431.0,641.0,850.0,915.0,850.0,790.0,771.0,788.0,788.0,783.0,805.0,889.0,977.0,971.0,818.0,711.0,656.0,596.0,424.0,37.488614,126.822789,경기도 부천시 소사구 괴안동 206-5,639.9583333333334
194,경춘북로(중랑경찰서),B-05,3,259.0,167.0,124.0,116.0,208.0,487.0,955.0,1345.0,1526.0,1394.0,1244.0,1205.0,1225.0,1295.0,1299.0,1315.0,1451.0,1601.0,1594.0,1300.0,971.0,848.0,743.0,428.0,37.619942,127.105325,서울시 중랑구 신내동 271-1,962.5
206,공항대로(발산역),D-21,3,345.0,230.0,175.0,155.0,248.0,434.0,720.0,1183.0,1394.0,1351.0,1345.0,1322.0,1300.0,1368.0,1393.0,1394.0,1419.0,1424.0,1412.0,1176.0,988.0,872.0,776.0,485.0,37.559251,126.831069,서울시 강서구 마곡동 727-1154,954.5416666666666
218,과천대로(남태령역),B-15,3,449.0,246.0,161.0,149.0,236.0,681.0,1526.0,1852.0,1865.0,1765.0,1716.0,1648.0,1663.0,1723.0,1678.0,1687.0,1804.0,1848.0,1781.0,1527.0,1395.0,1312.0,1152.0,767.0,37.463288,126.988151,서울시 서초구 방배동 산190-1 ,1276.2916666666667
230,광명대교(광명시계),B-22,3,161.0,105.0,72.0,65.0,128.0,281.0,463.0,800.0,753.0,776.0,813.0,690.0,640.0,674.0,673.0,684.0,719.0,769.0,774.0,629.0,477.0,428.0,364.0,239.0,37.485044,126.873297,서울시 금천구 가산동 535-121,507.375
242,광진교,C-21,3,92.0,65.0,47.0,39.0,48.0,104.0,212.0,394.0,575.0,483.0,466.0,449.0,416.0,419.0,451.0,476.0,523.0,617.0,656.0,466.0,306.0,265.0,211.0,132.0,37.54412,127.115274,서울시 강동구 천호동 484-9,329.6666666666667
254,국회대로(여의2교),D-27,3,483.0,305.0,201.0,163.0,212.0,349.0,755.0,1346.0,1637.0,1451.0,1416.0,1499.0,1441.0,1545.0,1604.0,1625.0,1635.0,1609.0,1531.0,1326.0,1286.0,1254.0,1055.0,763.0,37.526003,126.910953,서울시 영등포구 영등포동7가 94-411,1103.7916666666667
266,금오로(광명시계),B-19,3,42.0,24.0,17.0,19.0,38.0,119.0,210.0,308.0,314.0,316.0,279.0,275.0,268.0,292.0,309.0,312.0,332.0,374.0,344.0,280.0,185.0,134.0,106.0,66.0,37.482431,126.841891,서울시 구로구 천왕동 24-2,206.79166666666666
278,금천교(광명시계),B-24,3,299.0,195.0,141.0,132.0,215.0,571.0,1007.0,1485.0,1541.0,1526.0,1538.0,1521.0,1428.0,1557.0,1563.0,1594.0,1657.0,1647.0,1529.0,1339.0,1068.0,900.0,762.0,478.0,37.465046,126.884245,서울시 금천구 독산동 668-54,1070.5416666666667
290,금하로(광명시계),B-25,3,181.0,104.0,74.0,69.0,127.0,288.0,579.0,926.0,936.0,955.0,904.0,861.0,849.0,897.0,917.0,959.0,1000.0,1074.0,1052.0,868.0,678.0,579.0,448.0,274.0,37.4514,126.891627,경기도 광명시 소하동 31-25,649.9583333333334
302,김포대로(개화교),B-31,3,253.0,152.0,111.0,111.0,204.0,515.0,1245.0,1555.0,1545.0,1613.0,1409.0,1256.0,1227.0,1267.0,1290.0,1333.0,1448.0,1700.0,1667.0,1217.0,948.0,843.0,755.0,432.0,37.585313,126.795571,경기도 김포시 고촌읍 전호리 436-3,1004.0
314,남부순환로(낙성대역),D-33,3,1124.0,747.0,544.0,437.0,523.0,990.0,1598.0,2256.0,2377.0,2385.0,2318.0,2247.0,2228.0,2297.0,2355.0,2412.0,2520.0,2514.0,2373.0,2206.0,2013.0,2018.0,1920.0,1488.0,37.477711,126.962242,서울시 관악구 봉천동 1685-32,1828.75
326,남부순환로(수서IC),D-39,3,863.0,669.0,539.0,512.0,659.0,1045.0,1653.0,2443.0,2721.0,2699.0,2617.0,2535.0,2454.0,2582.0,2556.0,2570.0,2606.0,2585.0,2473.0,2237.0,2071.0,2128.0,1943.0,1240.0,37.495912,127.090903,서울시 강남구 일원동 3-16,1933.3333333333333
338,남부순환로(신월IC),D-19,3,774.0,525.0,414.0,391.0,625.0,1557.0,2442.0,2640.0,2853.0,2851.0,2822.0,2781.0,2754.0,2836.0,2853.0,2863.0,2927.0,3032.0,2992.0,2750.0,2433.0,2237.0,1983.0,1234.0,37.524081,126.835862,서울시 양천구 신월동 838 ,2148.7083333333335
350,남부순환로(예술의전당),D-34,3,672.0,450.0,319.0,257.0,354.0,798.0,1482.0,2145.0,2274.0,2298.0,2205.0,2080.0,2014.0,2160.0,2198.0,2254.0,2353.0,2453.0,2340.0,2010.0,1685.0,1726.0,1595.0,1037.0,37.476405,127.00445,서울시 서초구 방배동 1009-3,1631.625
362,남부순환로(화곡로입구 교차로),D-18,3,478.0,328.0,267.0,258.0,440.0,933.0,1622.0,1926.0,2137.0,2079.0,2035.0,1981.0,1888.0,1947.0,1966.0,1973.0,1971.0,1978.0,1881.0,1703.0,1521.0,1388.0,1238.0,741.0,37.540163,126.825453,서울시 양천구 신월동 29-7,1444.9583333333333
