,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
5,가양대교,C-03,6,1014.0,704.0,516.0,503.0,736.0,1853.0,2727.0,2782.0,3058.0,3112.0,3003.0,2972.0,2981.0,3093.0,3121.0,3203.0,3346.0,3375.0,3264.0,2902.0,2533.0,2583.0,2432.0,1571.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2391.0
17,강남대로(강남역-신분당),D-35,6,530.0,334.0,222.0,171.0,173.0,315.0,742.0,1208.0,1347.0,1351.0,1389.0,1474.0,1440.0,1513.0,1528.0,1569.0,1619.0,1635.0,1611.0,1427.0,1207.0,1115.0,1017.0,745.0,37.49059,127.03116,서울시 강남구 역삼동 858,1070.0833333333333
29,강남대로(신사역),D-43,6,820.0,590.0,443.0,346.0,348.0,498.0,951.0,1436.0,1539.0,1597.0,1591.0,1577.0,1569.0,1474.0,1597.0,1623.0,1680.0,1784.0,1815.0,1697.0,1631.0,1653.0,1560.0,1125.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1289.3333333333333
41,강남순환로,F-08,6,470.0,266.0,177.0,155.0,241.0,907.0,2166.0,2662.0,2652.0,2602.0,2440.0,2316.0,2321.0,2477.0,2464.0,2562.0,2817.0,3154.0,2975.0,2427.0,1818.0,1653.0,1485.0,864.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1836.2916666666667
53,강변북로,F-02,6,2561.0,1666.0,1222.0,1116.0,1664.0,4051.0,5941.0,6198.0,6161.0,6305.0,6202.0,6089.0,6018.0,5974.0,5890.0,5826.0,5631.0,4940.0,4569.0,4629.0,5475.0,5932.0,5787.0,4011.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4744.083333333333
65,강변북로(구리시계),B-37,6,856.0,537.0,407.0,388.0,600.0,1701.0,3302.0,3608.0,3850.0,3824.0,4009.0,4084.0,4038.0,4034.0,4031.0,4178.0,4275.0,4327.0,4107.0,3578.0,3203.0,3011.0,2728.0,1547.0,37.558389,127.114274,경기도 구리시 아천동 390,2925.9583333333335
77,강변북로(난지한강공원),B-36,6,2224.0,1461.0,1114.0,1109.0,1789.0,4258.0,5487.0,5378.0,5665.0,5816.0,6039.0,6129.0,6375.0,6502.0,6476.0,6359.0,6376.0,6303.0,6195.0,5967.0,5641.0,5635.0,5292.0,3579.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4882.041666666667
89,강서로(화곡터널),D-20,6,448.0,318.0,236.0,194.0,238.0,486.0,745.0,967.0,959.0,1040.0,1012.0,1006.0,984.0,1006.0,1008.0,1010.0,999.0,1033.0,1018.0,962.0,898.0,891.0,835.0,620.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,788.0416666666666
101,개봉로(개봉교),B-21,6,213.0,142.0,105.0,93.0,165.0,392.0,550.0,623.0,637.0,662.0,675.0,670.0,636.0,655.0,664.0,683.0,712.0,721.0,704.0,617.0,521.0,489.0,429.0,308.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,502.75
113,경부고속도로,F-06,6,2304.0,1540.0,1149.0,1092.0,1698.0,4026.0,5830.0,5062.0,4973.0,4842.0,4799.0,4787.0,4704.0,4726.0,4702.0,4731.0,4675.0,4463.0,4386.0,4509.0,4537.0,5521.0,5271.0,3713.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,4085.0
125,경부고속도로(양재IC),B-11,6,1869.0,1223.0,900.0,852.0,1374.0,3604.0,5843.0,5014.0,4898.0,4708.0,4700.0,4614.0,4508.0,4476.0,4439.0,4553.0,4649.0,4829.0,4856.0,4773.0,4679.0,5163.0,4801.0,3179.0,37.465083,127.038643,서울시 서초구 양재동 227-4,3937.6666666666665
137,경인고속국도(신월IC),B-28,6,1850.0,1236.0,936.0,799.0,1137.0,3165.0,4641.0,5103.0,4773.0,4885.0,4789.0,4671.0,4727.0,4918.0,4867.0,4925.0,5067.0,5119.0,5093.0,4934.0,4444.0,4290.0,4146.0,2899.0,37.524875,126.831933,서울시 양천구 신월동 904-1,3892.25
149,경인로(거리공원입구교차로),D-23,6,387.0,242.0,164.0,150.0,288.0,883.0,1201.0,1287.0,1255.0,1307.0,1319.0,1273.0,1273.0,1273.0,1292.0,1275.0,1322.0,1361.0,1285.0,1162.0,1021.0,1024.0,834.0,589.0,37.50644,126.884382,서울시 구로구 신도림동 435-17,977.7916666666666
161,경인로(서울교),D-28,6,690.0,458.0,318.0,255.0,349.0,806.0,1638.0,2549.0,2687.0,2586.0,2531.0,2544.0,2407.0,2508.0,2568.0,2581.0,2622.0,2776.0,2691.0,2291.0,1983.0,1906.0,1623.0,1057.0,37.52019,126.914903,서울시 영등포구 영등포동2가 97-1,1851.0
173,경인로(오류IC),D-22,6,500.0,301.0,210.0,181.0,325.0,744.0,1038.0,1123.0,1048.0,1138.0,1172.0,1170.0,1188.0,1204.0,1228.0,1213.0,1296.0,1368.0,1346.0,1198.0,1087.0,1055.0,978.0,710.0,37.498246,126.851219,서울시 구로구 개봉동 80-22,950.875
185,경인로(유한공고),B-29,6,314.0,202.0,140.0,111.0,221.0,465.0,650.0,845.0,893.0,853.0,788.0,777.0,779.0,774.0,787.0,801.0,908.0,972.0,987.0,842.0,714.0,666.0,614.0,431.0,37.488614,126.822789,경기도 부천시 소사구 괴안동 206-5,647.25
