,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
11,가양대교,C-03,12,1194.0,885.0,680.0,626.0,804.0,1623.0,2643.0,2833.0,2803.0,2882.0,2956.0,2922.0,2889.0,2939.0,2916.0,2947.0,3068.0,2900.0,2794.0,2589.0,2486.0,2516.0,2135.0,1551.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2274.2083333333335
23,강남대로(강남역-신분당),D-35,12,540.0,374.0,272.0,194.0,175.0,291.0,686.0,1132.0,1288.0,1324.0,1319.0,1393.0,1448.0,1516.0,1521.0,1552.0,1582.0,1600.0,1587.0,1418.0,1196.0,1068.0,940.0,719.0,37.49059,127.03116,서울시 강남구 역삼동 858,1047.2916666666667
35,강남대로(신사역),D-43,12,863.0,686.0,530.0,412.0,361.0,519.0,920.0,1399.0,1498.0,1607.0,1625.0,1578.0,1626.0,1618.0,1745.0,1739.0,1780.0,1839.0,1887.0,1788.0,1660.0,1655.0,1456.0,1134.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1330.2083333333333
47,강남순환로,F-08,12,504.0,301.0,201.0,164.0,228.0,749.0,1909.0,2604.0,2611.0,2551.0,2387.0,2236.0,2248.0,2366.0,2409.0,2488.0,2772.0,2915.0,2722.0,2278.0,1749.0,1563.0,1226.0,751.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1747.1666666666667
59,강변북로,F-02,12,2753.0,1874.0,1372.0,1196.0,1535.0,3371.0,5415.0,5710.0,5999.0,6194.0,6216.0,6207.0,6236.0,6285.0,6192.0,5954.0,5439.0,4595.0,4366.0,4715.0,5490.0,5875.0,5192.0,3751.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4663.833333333333
71,강변북로(구리시계),B-37,12,898.0,602.0,447.0,405.0,542.0,1424.0,3121.0,3387.0,3740.0,3721.0,3698.0,3689.0,3721.0,3900.0,3875.0,4006.0,4103.0,3989.0,3661.0,3116.0,2654.0,2428.0,1961.0,1337.0,37.558389,127.114274,경기도 구리시 아천동 390,2684.375
83,강변북로(난지한강공원),B-36,12,2338.0,1612.0,1230.0,1180.0,1673.0,3828.0,5480.0,5486.0,5476.0,5880.0,6331.0,6555.0,6799.0,6848.0,6750.0,6492.0,6187.0,5888.0,6011.0,5971.0,5836.0,5769.0,4817.0,3279.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4904.833333333333
95,강서로(화곡터널),D-20,12,471.0,350.0,270.0,215.0,235.0,420.0,645.0,894.0,948.0,1016.0,965.0,965.0,953.0,982.0,974.0,974.0,972.0,987.0,989.0,925.0,871.0,852.0,724.0,561.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,756.5833333333334
107,개봉로(개봉교),B-21,12,193.0,153.0,113.0,93.0,151.0,337.0,495.0,580.0,594.0,612.0,629.0,631.0,607.0,603.0,640.0,661.0,694.0,704.0,692.0,550.0,487.0,473.0,371.0,287.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,472.9166666666667
119,경부고속도로,F-06,12,2369.0,1641.0,1238.0,1122.0,1461.0,3179.0,5178.0,4701.0,4730.0,4771.0,4655.0,4650.0,4691.0,4727.0,4747.0,4670.0,4493.0,4090.0,4081.0,4312.0,4428.0,5194.0,4569.0,3419.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,3879.8333333333335
