,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
9,가양대교,C-03,10,1042.0,730.0,555.0,538.0,798.0,1704.0,2566.0,2678.0,2929.0,3039.0,3021.0,2920.0,2929.0,2996.0,3051.0,3191.0,3293.0,3196.0,2837.0,2791.0,2641.0,2554.0,2364.0,1531.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2328.9166666666665
21,강남대로(강남역-신분당),D-35,10,494.0,310.0,201.0,157.0,163.0,297.0,675.0,1105.0,1280.0,1316.0,1333.0,1445.0,1443.0,1515.0,1513.0,1539.0,1580.0,1605.0,1592.0,1408.0,1181.0,1068.0,977.0,683.0,37.49059,127.03116,서울시 강남구 역삼동 858,1036.6666666666667
33,강남대로(신사역),D-43,10,727.0,533.0,379.0,298.0,299.0,466.0,863.0,1320.0,1444.0,1571.0,1592.0,1578.0,1614.0,1541.0,1657.0,1690.0,1723.0,1815.0,1886.0,1763.0,1602.0,1559.0,1443.0,1008.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1265.4583333333333
45,강남순환로,F-08,10,463.0,277.0,188.0,170.0,265.0,836.0,1914.0,2511.0,2631.0,2561.0,2457.0,2382.0,2375.0,2492.0,2503.0,2562.0,2835.0,2995.0,2700.0,2372.0,1872.0,1644.0,1406.0,835.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1801.9166666666667
57,강변북로,F-02,10,2494.0,1624.0,1195.0,1111.0,1675.0,3766.0,5546.0,5857.0,6102.0,6293.0,6218.0,6175.0,6141.0,6150.0,6103.0,5979.0,5827.0,5070.0,4547.0,4810.0,5705.0,5983.0,5560.0,3787.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4738.25
69,강변북로(구리시계),B-37,10,832.0,531.0,399.0,368.0,599.0,1646.0,3116.0,3406.0,3795.0,3893.0,3998.0,4006.0,3904.0,3973.0,4008.0,4217.0,4358.0,4305.0,4096.0,3660.0,3137.0,2736.0,2351.0,1483.0,37.558389,127.114274,경기도 구리시 아천동 390,2867.375
81,강변북로(난지한강공원),B-36,10,2128.0,1406.0,1107.0,1118.0,1790.0,4178.0,5395.0,5244.0,5646.0,5890.0,6127.0,6186.0,6474.0,6496.0,6464.0,6508.0,6377.0,5999.0,5968.0,5969.0,5904.0,5764.0,5038.0,3359.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4855.625
93,강서로(화곡터널),D-20,10,421.0,298.0,217.0,178.0,229.0,429.0,674.0,884.0,948.0,1026.0,981.0,985.0,968.0,990.0,987.0,990.0,981.0,991.0,973.0,926.0,876.0,848.0,786.0,563.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,756.2083333333334
105,개봉로(개봉교),B-21,10,193.0,124.0,89.0,85.0,154.0,361.0,499.0,572.0,601.0,630.0,630.0,637.0,613.0,632.0,634.0,671.0,688.0,696.0,678.0,584.0,499.0,460.0,389.0,284.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,475.125
117,경부고속도로,F-06,10,2201.0,1476.0,1112.0,1061.0,1659.0,3728.0,5316.0,4902.0,4966.0,4940.0,4809.0,4736.0,4766.0,4755.0,4716.0,4804.0,4733.0,4380.0,4312.0,4545.0,4587.0,5471.0,5039.0,3508.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,4021.75
129,경부고속도로(양재IC),B-11,10,1826.0,1204.0,869.0,833.0,1350.0,3275.0,5347.0,4860.0,4900.0,4931.0,4754.0,4494.0,4483.0,4477.0,4469.0,4640.0,4809.0,4716.0,4550.0,4634.0,4608.0,5091.0,4579.0,3054.0,37.465083,127.038643,서울시 서초구 양재동 227-4,3864.7083333333335
141,경인고속국도(신월IC),B-28,10,1800.0,1209.0,916.0,814.0,1061.0,2794.0,4028.0,4759.0,4642.0,4581.0,4552.0,4730.0,4761.0,4874.0,4903.0,5026.0,5180.0,5206.0,4939.0,4500.0,4346.0,4168.0,3981.0,2768.0,37.524875,126.831933,서울시 양천구 신월동 904-1,3772.4166666666665
153,경인로(거리공원입구교차로),D-23,10,353.0,220.0,150.0,143.0,238.0,571.0,836.0,1039.0,1144.0,1162.0,1158.0,1169.0,1175.0,1181.0,1185.0,1197.0,1224.0,1254.0,1216.0,1158.0,1051.0,1009.0,837.0,577.0,37.50644,126.884382,서울시 구로구 신도림동 435-17,885.2916666666666
165,경인로(서울교),D-28,10,630.0,418.0,284.0,237.0,333.0,741.0,1444.0,2285.0,2478.0,2477.0,2458.0,2486.0,2389.0,2502.0,2520.0,2482.0,2596.0,2712.0,2588.0,2247.0,1971.0,1786.0,1515.0,957.0,37.52019,126.914903,서울시 영등포구 영등포동2가 97-1,1772.3333333333333
177,경인로(오류IC),D-22,10,,,,,,,,,,,,,,,,,,,,,,,,,37.498246,126.851219,서울시 구로구 개봉동 80-22,
189,경인로(유한공고),B-29,10,295.0,193.0,128.0,107.0,208.0,434.0,603.0,802.0,864.0,834.0,798.0,797.0,797.0,796.0,811.0,828.0,897.0,946.0,932.0,806.0,690.0,637.0,585.0,402.0,37.488614,126.822789,경기도 부천시 소사구 괴안동 206-5,632.9166666666666
201,경춘북로(중랑경찰서),B-05,10,254.0,170.0,125.0,115.0,217.0,511.0,922.0,1300.0,1426.0,1345.0,1258.0,1235.0,1251.0,1324.0,1315.0,1356.0,1520.0,1622.0,1569.0,1284.0,969.0,834.0,704.0,416.0,37.619942,127.105325,서울시 중랑구 신내동 271-1,960.0833333333334
213,공항대로(발산역),D-21,10,372.0,249.0,189.0,169.0,283.0,508.0,760.0,1192.0,1387.0,1393.0,1414.0,1429.0,1450.0,1464.0,1515.0,1483.0,1501.0,1498.0,1468.0,1256.0,1053.0,928.0,809.0,532.0,37.559251,126.831069,서울시 강서구 마곡동 727-1154,1012.5833333333334
225,과천대로(남태령역),B-15,10,461.0,260.0,165.0,153.0,252.0,705.0,1442.0,1755.0,1783.0,1813.0,1778.0,1763.0,1732.0,1767.0,1710.0,1724.0,1807.0,1786.0,1697.0,1520.0,1464.0,1364.0,1150.0,749.0,37.463288,126.988151,서울시 서초구 방배동 산190-1 ,1283.3333333333333
237,광명대교(광명시계),B-22,10,153.0,97.0,67.0,68.0,132.0,312.0,457.0,720.0,695.0,758.0,756.0,707.0,670.0,681.0,684.0,709.0,733.0,766.0,758.0,629.0,494.0,432.0,368.0,230.0,37.485044,126.873297,서울시 금천구 가산동 535-121,503.1666666666667
249,광진교,C-21,10,87.0,60.0,45.0,41.0,53.0,124.0,216.0,396.0,558.0,500.0,488.0,439.0,404.0,422.0,457.0,486.0,536.0,636.0,725.0,466.0,304.0,256.0,204.0,126.0,37.54412,127.115274,서울시 강동구 천호동 484-9,334.5416666666667
261,국회대로(여의2교),D-27,10,450.0,279.0,175.0,143.0,193.0,344.0,690.0,1181.0,1428.0,1342.0,1326.0,1411.0,1363.0,1459.0,1497.0,1504.0,1557.0,1519.0,1429.0,1261.0,1173.0,1102.0,969.0,666.0,37.526003,126.910953,서울시 영등포구 영등포동7가 94-411,1019.2083333333334
273,금오로(광명시계),B-19,10,42.0,22.0,17.0,18.0,42.0,118.0,203.0,292.0,309.0,304.0,267.0,261.0,256.0,272.0,275.0,298.0,338.0,364.0,330.0,254.0,176.0,133.0,104.0,64.0,37.482431,126.841891,서울시 구로구 천왕동 24-2,198.29166666666666
285,금천교(광명시계),B-24,10,353.0,235.0,170.0,162.0,247.0,620.0,994.0,1428.0,1490.0,1513.0,1525.0,1489.0,1425.0,1539.0,1552.0,1576.0,1618.0,1641.0,1502.0,1318.0,1066.0,942.0,809.0,531.0,37.465046,126.884245,서울시 금천구 독산동 668-54,1072.7083333333333
297,금하로(광명시계),B-25,10,187.0,106.0,77.0,73.0,133.0,309.0,616.0,913.0,944.0,992.0,998.0,962.0,949.0,996.0,1009.0,1061.0,1097.0,1169.0,1125.0,927.0,704.0,598.0,458.0,272.0,37.4514,126.891627,경기도 광명시 소하동 31-25,694.7916666666666
309,김포대로(개화교),B-31,10,267.0,158.0,120.0,125.0,250.0,607.0,1128.0,1446.0,1425.0,1430.0,1359.0,1323.0,1316.0,1359.0,1382.0,1435.0,1566.0,1788.0,1664.0,1263.0,1000.0,868.0,759.0,474.0,37.585313,126.795571,경기도 김포시 고촌읍 전호리 436-3,1021.3333333333334
321,남부순환로(낙성대역),D-33,10,1106.0,743.0,528.0,427.0,540.0,1017.0,1526.0,2152.0,2314.0,2377.0,2340.0,2297.0,2284.0,2346.0,2361.0,2410.0,2476.0,2424.0,2266.0,2182.0,2071.0,2029.0,1916.0,1428.0,37.477711,126.962242,서울시 관악구 봉천동 1685-32,1815.0
333,남부순환로(수서IC),D-39,10,862.0,667.0,507.0,505.0,675.0,1091.0,1623.0,2346.0,2562.0,2603.0,2595.0,2516.0,2513.0,2607.0,2570.0,2601.0,2610.0,2580.0,2460.0,2226.0,2042.0,2090.0,1911.0,1211.0,37.495912,127.090903,서울시 강남구 일원동 3-16,1915.5416666666667
345,남부순환로(신월IC),D-19,10,780.0,542.0,429.0,412.0,741.0,1856.0,2612.0,2829.0,2953.0,3076.0,3064.0,3019.0,2984.0,3038.0,3063.0,3039.0,3059.0,3073.0,2940.0,2642.0,2458.0,2241.0,2017.0,1254.0,37.524081,126.835862,서울시 양천구 신월동 838 ,2255.0416666666665
357,남부순환로(예술의전당),D-34,10,670.0,438.0,302.0,241.0,362.0,802.0,1372.0,1989.0,2146.0,2227.0,2117.0,1997.0,1970.0,2128.0,2136.0,2191.0,2300.0,2353.0,2232.0,1944.0,1667.0,1735.0,1559.0,984.0,37.476405,127.00445,서울시 서초구 방배동 1009-3,1577.5833333333333
369,남부순환로(화곡로입구 교차로),D-18,10,491.0,345.0,265.0,260.0,509.0,1040.0,1600.0,1819.0,2016.0,2022.0,2011.0,2004.0,1966.0,2001.0,2014.0,1991.0,1984.0,1950.0,1860.0,1747.0,1537.0,1380.0,1247.0,792.0,37.540163,126.825453,서울시 양천구 신월동 29-7,1452.125
381,남산1호터널,A-20,10,591.0,378.0,259.0,220.0,285.0,640.0,1484.0,1625.0,1816.0,1882.0,1819.0,1895.0,1844.0,1917.0,1825.0,1743.0,1647.0,1657.0,1612.0,1490.0,1444.0,1699.0,1415.0,932.0,37.542406,127.001356,서울시 용산구 한남동 산 10-33,1338.2916666666667
