,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
4,가양대교,C-03,5,980.0,676.0,478.0,470.0,665.0,1674.0,2536.0,2563.0,2817.0,2944.0,2891.0,2887.0,2923.0,3007.0,3040.0,3092.0,3271.0,3317.0,3162.0,2716.0,2447.0,2497.0,2309.0,1468.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2284.5833333333335
16,강남대로(강남역-신분당),D-35,5,513.0,319.0,213.0,172.0,167.0,291.0,684.0,1102.0,1244.0,1305.0,1356.0,1458.0,1440.0,1498.0,1497.0,1528.0,1574.0,1584.0,1558.0,1362.0,1189.0,1089.0,1001.0,727.0,37.49059,127.03116,서울시 강남구 역삼동 858,1036.2916666666667
28,강남대로(신사역),D-43,5,805.0,575.0,426.0,333.0,336.0,491.0,900.0,1304.0,1436.0,1543.0,1573.0,1603.0,1595.0,1545.0,1657.0,1667.0,1677.0,1735.0,1753.0,1651.0,1642.0,1589.0,1491.0,1092.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1267.4583333333333
40,강남순환로,F-08,5,451.0,259.0,177.0,153.0,226.0,831.0,1978.0,2413.0,2460.0,2494.0,2473.0,2371.0,2361.0,2472.0,2495.0,2562.0,2809.0,3091.0,2833.0,2266.0,1839.0,1650.0,1446.0,836.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1789.4166666666667
52,강변북로,F-02,5,2546.0,1688.0,1229.0,1100.0,1617.0,3720.0,5523.0,5764.0,5916.0,6199.0,6107.0,6000.0,5978.0,5904.0,5822.0,5764.0,5571.0,5122.0,4748.0,4798.0,5567.0,5904.0,5645.0,3901.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4672.208333333333
64,강변북로(구리시계),B-37,5,810.0,523.0,398.0,364.0,560.0,1555.0,3050.0,3283.0,3656.0,3821.0,4000.0,4015.0,4043.0,4096.0,4082.0,4138.0,4270.0,4311.0,4060.0,3525.0,3191.0,2975.0,2604.0,1488.0,37.558389,127.114274,경기도 구리시 아천동 390,2867.4166666666665
76,강변북로(난지한강공원),B-36,5,2244.0,1463.0,1128.0,1115.0,1709.0,4031.0,5280.0,5128.0,5535.0,5897.0,6090.0,6195.0,6521.0,6551.0,6545.0,6466.0,6381.0,6299.0,6213.0,5904.0,5712.0,5706.0,5226.0,3543.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4870.083333333333
88,강서로(화곡터널),D-20,5,434.0,307.0,229.0,186.0,231.0,445.0,684.0,888.0,901.0,990.0,990.0,994.0,970.0,987.0,979.0,994.0,986.0,1000.0,992.0,940.0,876.0,867.0,815.0,590.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,761.4583333333334
100,개봉로(개봉교),B-21,5,209.0,139.0,105.0,93.0,155.0,365.0,513.0,590.0,617.0,653.0,678.0,675.0,652.0,661.0,666.0,695.0,707.0,719.0,695.0,603.0,520.0,494.0,432.0,302.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,497.4166666666667
112,경부고속도로,F-06,5,2246.0,1486.0,1101.0,1043.0,1601.0,3725.0,5388.0,4816.0,4894.0,4848.0,4711.0,4719.0,4679.0,4694.0,4681.0,4697.0,4647.0,4546.0,4475.0,4510.0,4506.0,5456.0,5128.0,3590.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,4007.7916666666665
124,경부고속도로(양재IC),B-11,5,1849.0,1214.0,882.0,832.0,1319.0,3383.0,5476.0,4833.0,4848.0,4765.0,4645.0,4543.0,4462.0,4469.0,4429.0,4554.0,4692.0,4842.0,4816.0,4716.0,4586.0,5208.0,4737.0,3147.0,37.465083,127.038643,서울시 서초구 양재동 227-4,3885.2916666666665
136,경인고속국도(신월IC),B-28,5,1673.0,1104.0,845.0,758.0,1094.0,2914.0,4149.0,4529.0,4387.0,4512.0,4646.0,4618.0,4631.0,4749.0,4751.0,4780.0,4865.0,4967.0,4762.0,4477.0,4215.0,4125.0,3831.0,2602.0,37.524875,126.831933,서울시 양천구 신월동 904-1,3666.0
148,경인로(거리공원입구교차로),D-23,5,373.0,223.0,161.0,143.0,272.0,814.0,1117.0,1222.0,1244.0,1273.0,1331.0,1311.0,1292.0,1267.0,1267.0,1275.0,1289.0,1319.0,1269.0,1122.0,1015.0,996.0,820.0,561.0,37.50644,126.884382,서울시 구로구 신도림동 435-17,957.3333333333334
160,경인로(서울교),D-28,5,642.0,423.0,292.0,233.0,322.0,734.0,1491.0,2261.0,2435.0,2479.0,2481.0,2487.0,2412.0,2491.0,2527.0,2526.0,2602.0,2741.0,2603.0,2188.0,1940.0,1831.0,1546.0,994.0,37.52019,126.914903,서울시 영등포구 영등포동2가 97-1,1778.375
172,경인로(오류IC),D-22,5,461.0,284.0,194.0,167.0,304.0,670.0,971.0,1031.0,1007.0,1110.0,1176.0,1166.0,1163.0,1181.0,1203.0,1195.0,1250.0,1315.0,1273.0,1117.0,1023.0,979.0,897.0,649.0,37.498246,126.851219,서울시 구로구 개봉동 80-22,907.75
184,경인로(유한공고),B-29,5,316.0,203.0,135.0,110.0,203.0,446.0,613.0,781.0,835.0,822.0,796.0,783.0,798.0,797.0,791.0,812.0,894.0,957.0,952.0,816.0,699.0,664.0,604.0,420.0,37.488614,126.822789,경기도 부천시 소사구 괴안동 206-5,635.2916666666666
196,경춘북로(중랑경찰서),B-05,5,267.0,175.0,128.0,120.0,217.0,532.0,987.0,1311.0,1428.0,1369.0,1284.0,1238.0,1265.0,1290.0,1303.0,1324.0,1468.0,1577.0,1556.0,1276.0,1008.0,881.0,761.0,437.0,37.619942,127.105325,서울시 중랑구 신내동 271-1,966.75
208,공항대로(발산역),D-21,5,375.0,250.0,191.0,165.0,280.0,503.0,751.0,1134.0,1348.0,1343.0,1388.0,1391.0,1402.0,1431.0,1470.0,1457.0,1469.0,1465.0,1429.0,1225.0,1020.0,914.0,822.0,536.0,37.559251,126.831069,서울시 강서구 마곡동 727-1154,989.9583333333334
220,과천대로(남태령역),B-15,5,473.0,265.0,173.0,159.0,244.0,723.0,1542.0,1734.0,1807.0,1797.0,1769.0,1736.0,1718.0,1770.0,1706.0,1686.0,1783.0,1821.0,1764.0,1540.0,1441.0,1384.0,1206.0,794.0,37.463288,126.988151,서울시 서초구 방배동 산190-1 ,1293.125
232,광명대교(광명시계),B-22,5,166.0,107.0,79.0,70.0,131.0,328.0,462.0,689.0,635.0,703.0,762.0,683.0,684.0,704.0,701.0,714.0,732.0,743.0,715.0,633.0,523.0,476.0,398.0,256.0,37.485044,126.873297,서울시 금천구 가산동 535-121,503.9166666666667
244,광진교,C-21,5,89.0,63.0,48.0,38.0,48.0,117.0,211.0,357.0,497.0,447.0,464.0,455.0,433.0,435.0,449.0,480.0,537.0,620.0,646.0,469.0,327.0,274.0,221.0,129.0,37.54412,127.115274,서울시 강동구 천호동 484-9,327.25
256,국회대로(여의2교),D-27,5,450.0,282.0,183.0,150.0,197.0,329.0,666.0,1076.0,1345.0,1278.0,1301.0,1432.0,1419.0,1508.0,1572.0,1574.0,1618.0,1570.0,1512.0,1279.0,1212.0,1160.0,996.0,676.0,37.526003,126.910953,서울시 영등포구 영등포동7가 94-411,1032.7083333333333
268,금오로(광명시계),B-19,5,44.0,24.0,17.0,19.0,38.0,124.0,221.0,278.0,294.0,301.0,277.0,270.0,269.0,290.0,292.0,310.0,329.0,360.0,327.0,268.0,188.0,137.0,106.0,70.0,37.482431,126.841891,서울시 구로구 천왕동 24-2,202.20833333333334
280,금천교(광명시계),B-24,5,350.0,230.0,170.0,148.0,236.0,614.0,1023.0,1386.0,1476.0,1495.0,1529.0,1538.0,1476.0,1561.0,1577.0,1597.0,1628.0,1640.0,1523.0,1309.0,1102.0,954.0,808.0,530.0,37.465046,126.884245,서울시 금천구 독산동 668-54,1079.1666666666667
292,금하로(광명시계),B-25,5,188.0,106.0,77.0,70.0,134.0,310.0,616.0,872.0,891.0,926.0,941.0,898.0,879.0,916.0,928.0,967.0,1002.0,1055.0,1014.0,834.0,676.0,578.0,443.0,267.0,37.4514,126.891627,경기도 광명시 소하동 31-25,649.5
304,김포대로(개화교),B-31,5,272.0,167.0,119.0,117.0,236.0,601.0,1205.0,1391.0,1431.0,1486.0,1380.0,1297.0,1309.0,1339.0,1370.0,1416.0,1514.0,1712.0,1651.0,1229.0,977.0,874.0,774.0,467.0,37.585313,126.795571,경기도 김포시 고촌읍 전호리 436-3,1013.9166666666666
316,남부순환로(낙성대역),D-33,5,1142.0,766.0,554.0,439.0,525.0,1043.0,1579.0,2112.0,2269.0,2324.0,2342.0,2292.0,2265.0,2332.0,2373.0,2388.0,2496.0,2481.0,2335.0,2166.0,2000.0,2017.0,1925.0,1489.0,37.477711,126.962242,서울시 관악구 봉천동 1685-32,1818.9166666666667
328,남부순환로(수서IC),D-39,5,863.0,679.0,514.0,502.0,669.0,1111.0,1768.0,2481.0,2665.0,2777.0,2747.0,2625.0,2575.0,2686.0,2586.0,2641.0,2643.0,2621.0,2466.0,2190.0,2080.0,2137.0,1896.0,1236.0,37.495912,127.090903,서울시 강남구 일원동 3-16,1964.9166666666667
340,남부순환로(신월IC),D-19,5,841.0,578.0,442.0,422.0,690.0,1699.0,2478.0,2635.0,2763.0,2882.0,2915.0,2865.0,2850.0,2881.0,2819.0,2819.0,2773.0,2858.0,2773.0,2628.0,2489.0,2363.0,2123.0,1323.0,37.524081,126.835862,서울시 양천구 신월동 838 ,2162.875
352,남부순환로(예술의전당),D-34,5,686.0,456.0,319.0,256.0,357.0,820.0,1451.0,1972.0,2153.0,2232.0,2189.0,2102.0,2039.0,2175.0,2170.0,2222.0,2331.0,2408.0,2269.0,1919.0,1662.0,1733.0,1617.0,1041.0,37.476405,127.00445,서울시 서초구 방배동 1009-3,1607.4583333333333
