,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
8,가양대교,C-03,9,953.0,674.0,499.0,507.0,738.0,1564.0,2484.0,2653.0,2892.0,2978.0,2957.0,2887.0,2892.0,2993.0,3031.0,3130.0,3274.0,3223.0,2920.0,2685.0,2649.0,2585.0,2228.0,1424.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2284.1666666666665
20,강남대로(강남역-신분당),D-35,9,443.0,280.0,182.0,148.0,155.0,290.0,640.0,1086.0,1247.0,1252.0,1313.0,1429.0,1418.0,1477.0,1473.0,1554.0,1529.0,1540.0,1520.0,1389.0,1168.0,1051.0,930.0,642.0,37.49059,127.03116,서울시 강남구 역삼동 858,1006.5
32,강남대로(신사역),D-43,9,670.0,469.0,342.0,270.0,276.0,447.0,814.0,1290.0,1414.0,1505.0,1519.0,1545.0,1592.0,1508.0,1623.0,1636.0,1705.0,1737.0,1745.0,1689.0,1547.0,1507.0,1367.0,958.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1215.625
44,강남순환로,F-08,9,413.0,247.0,180.0,162.0,250.0,783.0,1836.0,2417.0,2511.0,2428.0,2359.0,2302.0,2333.0,2412.0,2408.0,2463.0,2685.0,2836.0,2707.0,2348.0,1889.0,1600.0,1284.0,726.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1732.4583333333333
56,강변북로,F-02,9,2263.0,1516.0,1112.0,1050.0,1625.0,3593.0,5303.0,5734.0,5783.0,6016.0,6112.0,6063.0,6017.0,6020.0,5929.0,5856.0,5761.0,5073.0,4574.0,4652.0,5462.0,5741.0,5352.0,3493.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4587.5
68,강변북로(구리시계),B-37,9,743.0,476.0,364.0,355.0,583.0,1542.0,2945.0,3342.0,3578.0,3644.0,3855.0,3952.0,3900.0,3984.0,3989.0,4183.0,4296.0,4184.0,3949.0,3456.0,3021.0,2682.0,2176.0,1223.0,37.558389,127.114274,경기도 구리시 아천동 390,2767.5833333333335
80,강변북로(난지한강공원),B-36,9,2016.0,1361.0,1048.0,1099.0,1744.0,3973.0,5138.0,5167.0,5481.0,5697.0,5877.0,5842.0,6116.0,6167.0,6231.0,6300.0,6348.0,6080.0,5909.0,5926.0,5878.0,5661.0,4868.0,3160.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4711.958333333333
92,강서로(화곡터널),D-20,9,382.0,271.0,194.0,167.0,208.0,407.0,655.0,881.0,916.0,994.0,952.0,960.0,941.0,979.0,976.0,979.0,964.0,965.0,957.0,904.0,869.0,850.0,769.0,539.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,736.625
104,개봉로(개봉교),B-21,9,178.0,117.0,85.0,85.0,150.0,327.0,475.0,547.0,573.0,609.0,627.0,650.0,610.0,634.0,628.0,654.0,674.0,679.0,664.0,578.0,507.0,460.0,379.0,272.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,465.0833333333333
116,경부고속도로,F-06,9,2115.0,1464.0,1121.0,1121.0,1781.0,3670.0,5311.0,4836.0,4861.0,4777.0,4664.0,4729.0,4711.0,4739.0,4678.0,4700.0,4718.0,4352.0,4262.0,4371.0,4489.0,5180.0,4771.0,3314.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,3947.2916666666665
