,지점명,지점번호,월,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,위도,경도,주소,하루평균
0,가양대교,C-03,1,747.0,539.0,386.0,409.0,514.0,1053.0,1857.0,2019.0,2754.0,2864.0,2934.0,2988.0,2983.0,3036.0,3024.0,3129.0,3356.0,3177.0,2457.0,2415.0,2379.0,2437.0,1663.0,1005.0,37.571567,126.862726,서울시 마포구 상암동 506-68,2088.5416666666665
12,강남대로(강남역-신분당),D-35,1,403.0,257.0,175.0,137.0,139.0,252.0,599.0,1029.0,1178.0,1217.0,1231.0,1313.0,1353.0,1426.0,1465.0,1449.0,1440.0,1437.0,1448.0,1282.0,1112.0,982.0,730.0,566.0,37.49059,127.03116,서울시 강남구 역삼동 858,942.5
24,강남대로(신사역),D-43,1,599.0,432.0,321.0,250.0,254.0,409.0,750.0,1188.0,1334.0,1451.0,1488.0,1468.0,1490.0,1536.0,1662.0,1671.0,1670.0,1715.0,1764.0,1611.0,1498.0,1480.0,1077.0,835.0,37.514859,127.020098,서울시 강남구 논현동 17-5,1164.7083333333333
36,강남순환로,F-08,1,328.0,196.0,133.0,112.0,161.0,548.0,1577.0,2145.0,2248.0,2215.0,2130.0,2041.0,2106.0,2243.0,2251.0,2290.0,2521.0,2809.0,2567.0,2079.0,1648.0,1478.0,896.0,519.0,37.449096,126.926169,서울시 금천구 시흥동 산 93-1,1551.7083333333335
48,강변북로,F-02,1,1885.0,1292.0,924.0,847.0,1105.0,2488.0,4670.0,5168.0,5438.0,5706.0,5988.0,6091.0,6177.0,6232.0,6190.0,6038.0,5619.0,4692.0,4315.0,4276.0,4878.0,5282.0,3799.0,2701.0,37.517004,126.973968,서울시 용산구 이촌동 302-131,4241.708333333333
60,강변북로(구리시계),B-37,1,609.0,416.0,318.0,303.0,391.0,982.0,2405.0,2893.0,3254.0,3332.0,3418.0,3437.0,3423.0,3618.0,3589.0,3642.0,3684.0,3875.0,3653.0,2945.0,2582.0,2523.0,1616.0,957.0,37.558389,127.114274,경기도 구리시 아천동 390,2411.0416666666665
72,강변북로(난지한강공원),B-36,1,1688.0,1154.0,879.0,899.0,1245.0,2838.0,4660.0,4625.0,4634.0,4941.0,5380.0,5874.0,6265.0,6351.0,6392.0,6313.0,6231.0,5993.0,5904.0,5506.0,5372.0,5249.0,3726.0,2420.0,37.570903,126.872321,서울시 마포구 상암동 481-226,4355.791666666667
84,강서로(화곡터널),D-20,1,309.0,220.0,157.0,132.0,169.0,295.0,495.0,674.0,787.0,869.0,860.0,866.0,875.0,894.0,909.0,916.0,913.0,924.0,914.0,832.0,803.0,809.0,568.0,405.0,37.534375,126.845094,서울시 강서구 화곡동 산172-2,649.7916666666666
96,개봉로(개봉교),B-21,1,157.0,103.0,78.0,74.0,123.0,275.0,431.0,522.0,571.0,598.0,603.0,624.0,617.0,650.0,657.0,672.0,675.0,682.0,650.0,554.0,477.0,468.0,317.0,230.0,37.486181,126.8565,서울시 구로구 개봉동 403-97,450.33333333333337
108,경부고속도로,F-06,1,1629.0,1095.0,829.0,783.0,1040.0,2344.0,4445.0,4305.0,4493.0,4549.0,4487.0,4566.0,4574.0,4612.0,4538.0,4601.0,4557.0,4290.0,4086.0,4032.0,4095.0,4692.0,3498.0,2474.0,37.493135,127.022533,서울시 서초구 서초동 1748-26 ,3525.583333333333
